"name","price"
"1 habitación 1 Baño ",35
"1 habitación 1.5 Baño",37.5
"1 habitación 2 Baños",38
"1 habitación 2.5 Baño",39
"1 habitación 3 Baños",41
"1 habitación 3.5 Baño",43.5
"1 habitación 4 Baños",46
"1 habitación 4.5 Baño",46.5
"1 habitación 5 Baño",48.5
"1 habitación 5.5 Baños",50.5
"2 habitación 1 Baño",40
"2 habitación 1.5 Baño",42.5
"2 habitación 2 Baños",45
"2 habitación 2.5 Baño",47.5
"2 habitación 3 Baños",50
"2 habitación 3.5 Baño",52.5
"2 habitación 4 Baños",55
"2 habitación 4.5 Baño",60
"2 habitación 5 Baño",62.5
"2 habitación 5.5 Baños",6
"3 habitación 1 Baño",45
"3 habitación 1.5 Baño",47.5
"3 habitación 2 Baños",50
"3 habitación 2.5 Baño",52.5
"3 habitación 3 Baños",55
"3 habitación 3.5 Baño",57.5
"3 habitación 4 Baños",60
"3 habitación 4.5 Baño",62.5
"3 habitación 5 Baño",65
"3 habitación 5.5 Baños",67.5
"4 habitación 1 Baño",60
"4 habitación 1.5 Baño",62.5
"4 habitación 2 Baños",65
"4 habitación 2.5 Baño",67.5
"4 habitación 3 Baños",70
"4 habitación 3.5 Baño",72.5
"4 habitación 4 Baños",75
"4 habitación 4.5 Baño",77.5
"4 habitación 5 Baño",80
"4 habitación 5.5 Baños",82.5
"5 habitación 1 Baño",70
"5 habitación 1.5 Baño",72.5
"5 habitación 2 Baños",75
"5 habitación 2.5 Baño",77.5
"5 habitación 3 Baños",80
"5 habitación 3.5 Baño",82.5
"5 habitación 4 Baños",85
"5 habitación 4.5 Baño",87.5
"5 habitación 5 Baño",90
"5 habitación 5.5 Baños",92.5
